timestamp,run_id,build_id,build_name,build_backend,mode,label,model,is_mtp_model,tasks,task_ids,runs,ctx,batch,ubatch,kv_k,kv_v,spec_mode,extra_preset,extra_args,no_reuse,gpu_layers,parallel,flash_attn,max_tokens,real_context_mode,real_context_chars,real_context_safe_fill,no_v2_prime_pass,temperature,top_p,aggregate_tps,mean_task_tps,prompt_eval_tps,decode_eval_tps,prompt_eval_ms,decode_eval_ms,errors,metric_scope,lane_key,best_config,jsonl_file,csv_file,summary_file,server_log_file,is_group_best
2026-08-28 12:34:42,run-83b61dfa86,572cdc0f7,,rocm,autotune,test-stock-rocm-skip,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,8192,,,,,none,,,,,,,,,,,,,,12.65,,1631,24.31,,,0,autotune,rocm|Qwen3.8-27B-Q4_K_M.gguf|ctx8192|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,test-stock-rocm-skip.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\test-stock-rocm-skip,,
2026-08-28 12:35:33,run-655b494bf3,572cdc0f7,,vk,autotune,stock-vk-l0-l4,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,8192,,,,,none,,,,,,,,,,,,,,12.05,,1245,30.01,,,0,autotune,vk|Qwen3.8-27B-Q4_K_M.gguf|ctx8192|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,stock-vk-l0-l4.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\stock-vk-l0-l4,,
2026-08-28 12:40:30,run-1e9d549483,572cdc0f7,,vk,autotune,fork-vk-l0-l4,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,16384,,,,,none,,,,,,,,,,,,,,13.45,,1593,27.95,,,0,autotune,vk|Qwen3.8-27B-Q4_K_M.gguf|ctx16384|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,fork-vk-l0-l4.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\fork-vk-l0-l4,,
2026-08-28 12:44:18,run-bd57f009fb,572cdc0f7,,rocm,autotune,stock-rocm-l0-l4,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,16384,,,,,none,,,,,,,,,,,,,,8.946,,1665,23.62,,,0,autotune,rocm|Qwen3.8-27B-Q4_K_M.gguf|ctx16384|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,stock-rocm-l0-l4.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\stock-rocm-l0-l4,,
2026-08-28 12:53:05,run-08ab4d96b3,572cdc0f7,,rocm,autotune,stock-rocm-l2-fix,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,49152,,,,,none,,,,,,,,,,,,,,7.342,,1343,21.14,,,0,autotune,rocm|Qwen3.8-27B-Q4_K_M.gguf|ctx49152|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,stock-rocm-l2-fix.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\stock-rocm-l2-fix,,
2026-08-28 12:53:52,run-f8aeca6175,572cdc0f7,,rocm,autotune,fork-rocm-l0-l4,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,8192,,,,,none,,,,,,,,,,,,,,13.28,,1761,24.9,,,0,autotune,rocm|Qwen3.8-27B-Q4_K_M.gguf|ctx8192|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,fork-rocm-l0-l4.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\fork-rocm-l0-l4,,
2026-08-28 13:21:06,run-f755b91142,572cdc0f7,,vk,autotune,fork-vk-gcc16-l0-l2,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,8192,,,,,none,,,,,,,,,,,,,,11.39,,1170,28.6,,,0,autotune,vk|Qwen3.8-27B-Q4_K_M.gguf|ctx8192|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,fork-vk-gcc16-l0-l2.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\fork-vk-gcc16-l0-l2,,
2026-08-28 13:30:31,run-a6b192a588,572cdc0f7,,vk,autotune,vk-dbg-fork-l0,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,8192,,,,,none,,,,,,,,,,,,,,13.12,,1496,28.66,,,0,autotune,vk|Qwen3.8-27B-Q4_K_M.gguf|ctx8192|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,vk-dbg-fork-l0.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\vk-dbg-fork-l0,,
2026-08-28 13:32:59,run-539ff124e6,572cdc0f7,,vk,autotune,vk-trace-fork-l0,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,8192,,,,,none,,,,,,,,,,,,,,13.11,,1489,28.78,,,0,autotune,vk|Qwen3.8-27B-Q4_K_M.gguf|ctx8192|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,vk-trace-fork-l0.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\vk-trace-fork-l0,,
2026-08-28 13:37:13,run-d5093e7b1a,572cdc0f7,,vk,autotune,fork-vk-gcc16-r3,Qwen3.8-27B-Q4_K_M.gguf,,single,,1,16384,,,,,none,,,,,,,,,,,,,,13.82,,1636,28.76,,,0,autotune,vk|Qwen3.8-27B-Q4_K_M.gguf|ctx16384|b-/ub-|kv-/-|spec=none|reuse|tasks=single|max=-|ctxsrc=-|dev=auto|ts=auto,,fork-vk-gcc16-r3.jsonl,,D:\GitHub\llama.cpp-with-GUI\build_logs\bench\fork-vk-gcc16-r3,,
